X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
0, 0, 250, 0, im_001_001.png, 0, 0, 0
100, 0, 250, 0, im_001_002.png, 1, 0, 0
200, 0, 250, 0, im_001_003.png, 2, 0, 0
300, 0, 250, 0, im_001_004.png, 3, 0, 0
900, 0, 250, 0, im_001_010.png, 9, 0, 0
1000, 0, 250, 0, im_001_011.png, 10, 0, 0
1100, 0, 250, 0, im_001_012.png, 11, 0, 0
1200, 0, 250, 0, im_001_013.png, 12, 0, 0
1300, 0, 250, 0, im_001_014.png, 13, 0, 0
2100, 0, 250, 0, im_001_022.png, 21, 0, 0
2200, 0, 250, 0, im_001_023.png, 22, 0, 0
2300, 0, 250, 0, im_001_024.png, 23, 0, 0
2400, 0, 250, 0, im_001_025.png, 24, 0, 0
2500, 0, 250, 0, im_001_026.png, 25, 0, 0
2600, 0, 250, 0, im_001_027.png, 26, 0, 0
2700, 0, 250, 0, im_001_028.png, 27, 0, 0
2800, 0, 250, 0, im_001_029.png, 28, 0, 0
0, 100, 250, 0, im_002_001.png, 0, 1, 0
100, 100, 250, 0, im_002_002.png, 1, 1, 0
200, 100, 250, 0, im_002_003.png, 2, 1, 0
900, 100, 250, 0, im_002_010.png, 9, 1, 0
1000, 100, 250, 0, im_002_011.png, 10, 1, 0
1100, 100, 250, 0, im_002_012.png, 11, 1, 0
1200, 100, 250, 0, im_002_013.png, 12, 1, 0
2200, 100, 250, 0, im_002_023.png, 22, 1, 0
2300, 100, 250, 0, im_002_024.png, 23, 1, 0
2400, 100, 250, 0, im_002_025.png, 24, 1, 0
2500, 100, 250, 0, im_002_026.png, 25, 1, 0
2600, 100, 250, 0, im_002_027.png, 26, 1, 0
2700, 100, 250, 0, im_002_028.png, 27, 1, 0
2800, 100, 250, 0, im_002_029.png, 28, 1, 0
0, 200, 250, 0, im_003_001.png, 0, 2, 0
100, 200, 250, 0, im_003_002.png, 1, 2, 0
200, 200, 250, 0, im_003_003.png, 2, 2, 0
900, 200, 250, 0, im_003_010.png, 9, 2, 0
1000, 200, 250, 0, im_003_011.png, 10, 2, 0
1100, 200, 250, 0, im_003_012.png, 11, 2, 0
1200, 200, 250, 0, im_003_013.png, 12, 2, 0
2200, 200, 250, 0, im_003_023.png, 22, 2, 0
2300, 200, 250, 0, im_003_024.png, 23, 2, 0
2400, 200, 250, 0, im_003_025.png, 24, 2, 0
2500, 200, 250, 0, im_003_026.png, 25, 2, 0
2600, 200, 250, 0, im_003_027.png, 26, 2, 0
2700, 200, 250, 0, im_003_028.png, 27, 2, 0
2800, 200, 250, 0, im_003_029.png, 28, 2, 0
0, 300, 250, 0, im_004_001.png, 0, 3, 0
100, 300, 250, 0, im_004_002.png, 1, 3, 0
900, 300, 250, 0, im_004_010.png, 9, 3, 0
1000, 300, 250, 0, im_004_011.png, 10, 3, 0
1100, 300, 250, 0, im_004_012.png, 11, 3, 0
1200, 300, 250, 0, im_004_013.png, 12, 3, 0
2200, 300, 250, 0, im_004_023.png, 22, 3, 0
2300, 300, 250, 0, im_004_024.png, 23, 3, 0
2400, 300, 250, 0, im_004_025.png, 24, 3, 0
