X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
500, 0, 0, 0, im_001_001_001.png, 0, 0, 0
2100, 0, 0, 0, im_017_001_001.png, 16, 0, 0
2200, 0, 0, 0, im_018_001_001.png, 17, 0, 0
2300, 0, 0, 0, im_019_001_001.png, 18, 0, 0
2400, 0, 0, 0, im_020_001_001.png, 19, 0, 0
2500, 0, 0, 0, im_021_001_001.png, 20, 0, 0
2600, 0, 0, 0, im_022_001_001.png, 21, 0, 0
2700, 0, 0, 0, im_023_001_001.png, 22, 0, 0
2800, 0, 0, 0, im_024_001_001.png, 23, 0, 0
500, 100, 0, 0, im_001_002_001.png, 0, 1, 0
2100, 100, 0, 0, im_017_002_001.png, 16, 1, 0
2200, 100, 0, 0, im_018_002_001.png, 17, 1, 0
2300, 100, 0, 0, im_019_002_001.png, 18, 1, 0
2400, 100, 0, 0, im_020_002_001.png, 19, 1, 0
2500, 100, 0, 0, im_021_002_001.png, 20, 1, 0
2600, 100, 0, 0, im_022_002_001.png, 21, 1, 0
2700, 100, 0, 0, im_023_002_001.png, 22, 1, 0
2800, 100, 0, 0, im_024_002_001.png, 23, 1, 0
500, 200, 0, 0, im_001_003_001.png, 0, 2, 0
2200, 200, 0, 0, im_018_003_001.png, 17, 2, 0
2300, 200, 0, 0, im_019_003_001.png, 18, 2, 0
2400, 200, 0, 0, im_020_003_001.png, 19, 2, 0
2500, 200, 0, 0, im_021_003_001.png, 20, 2, 0
2600, 200, 0, 0, im_022_003_001.png, 21, 2, 0
2700, 200, 0, 0, im_023_003_001.png, 22, 2, 0
2800, 200, 0, 0, im_024_003_001.png, 23, 2, 0
500, 300, 0, 0, im_001_004_001.png, 0, 3, 0
2700, 300, 0, 0, im_023_004_001.png, 22, 3, 0
2800, 300, 0, 0, im_024_004_001.png, 23, 3, 0
500, 400, 0, 0, im_001_005_001.png, 0, 4, 0
2700, 400, 0, 0, im_023_005_001.png, 22, 4, 0
2800, 400, 0, 0, im_024_005_001.png, 23, 4, 0
500, 500, 0, 0, im_001_006_001.png, 0, 5, 0
600, 500, 0, 0, im_002_006_001.png, 1, 5, 0
2700, 500, 0, 0, im_023_006_001.png, 22, 5, 0
2800, 500, 0, 0, im_024_006_001.png, 23, 5, 0
500, 600, 0, 0, im_001_007_001.png, 0, 6, 0
600, 600, 0, 0, im_002_007_001.png, 1, 6, 0
2700, 600, 0, 0, im_023_007_001.png, 22, 6, 0
2800, 600, 0, 0, im_024_007_001.png, 23, 6, 0
500, 700, 0, 0, im_001_008_001.png, 0, 7, 0
600, 700, 0, 0, im_002_008_001.png, 1, 7, 0
700, 700, 0, 0, im_003_008_001.png, 2, 7, 0
800, 700, 0, 0, im_004_008_001.png, 3, 7, 0
2700, 700, 0, 0, im_023_008_001.png, 22, 7, 0
2800, 700, 0, 0, im_024_008_001.png, 23, 7, 0
500, 800, 0, 0, im_001_009_001.png, 0, 8, 0
600, 800, 0, 0, im_002_009_001.png, 1, 8, 0
700, 800, 0, 0, im_003_009_001.png, 2, 8, 0
800, 800, 0, 0, im_004_009_001.png, 3, 8, 0
900, 800, 0, 0, im_005_009_001.png, 4, 8, 0
1000, 800, 0, 0, im_006_009_001.png, 5, 8, 0
1100, 800, 0, 0, im_007_009_001.png, 6, 8, 0
1200, 800, 0, 0, im_008_009_001.png, 7, 8, 0
1300, 800, 0, 0, im_009_009_001.png, 8, 8, 0
1400, 800, 0, 0, im_010_009_001.png, 9, 8, 0
1500, 800, 0, 0, im_011_009_001.png, 10, 8, 0
1600, 800, 0, 0, im_012_009_001.png, 11, 8, 0
2800, 800, 0, 0, im_024_009_001.png, 23, 8, 0
500, 900, 0, 0, im_001_010_001.png, 0, 9, 0
600, 900, 0, 0, im_002_010_001.png, 1, 9, 0
700, 900, 0, 0, im_003_010_001.png, 2, 9, 0
800, 900, 0, 0, im_004_010_001.png, 3, 9, 0
900, 900, 0, 0, im_005_010_001.png, 4, 9, 0
1000, 900, 0, 0, im_006_010_001.png, 5, 9, 0
1100, 900, 0, 0, im_007_010_001.png, 6, 9, 0
1200, 900, 0, 0, im_008_010_001.png, 7, 9, 0
1300, 900, 0, 0, im_009_010_001.png, 8, 9, 0
1400, 900, 0, 0, im_010_010_001.png, 9, 9, 0
1500, 900, 0, 0, im_011_010_001.png, 10, 9, 0
1600, 900, 0, 0, im_012_010_001.png, 11, 9, 0
2800, 900, 0, 0, im_024_010_001.png, 23, 9, 0
500, 1000, 0, 0, im_001_011_001.png, 0, 10, 0
600, 1000, 0, 0, im_002_011_001.png, 1, 10, 0
700, 1000, 0, 0, im_003_011_001.png, 2, 10, 0
500, 1100, 0, 0, im_001_012_001.png, 0, 11, 0
600, 1100, 0, 0, im_002_012_001.png, 1, 11, 0
700, 1100, 0, 0, im_003_012_001.png, 2, 11, 0
500, 1200, 0, 0, im_001_013_001.png, 0, 12, 0
600, 1200, 0, 0, im_002_013_001.png, 1, 12, 0
700, 1200, 0, 0, im_003_013_001.png, 2, 12, 0
500, 1300, 0, 0, im_001_014_001.png, 0, 13, 0
600, 1300, 0, 0, im_002_014_001.png, 1, 13, 0
700, 1300, 0, 0, im_003_014_001.png, 2, 13, 0
800, 1300, 0, 0, im_004_014_001.png, 3, 13, 0
2800, 1300, 0, 0, im_024_014_001.png, 23, 13, 0
500, 1400, 0, 0, im_001_015_001.png, 0, 14, 0
600, 1400, 0, 0, im_002_015_001.png, 1, 14, 0
700, 1400, 0, 0, im_003_015_001.png, 2, 14, 0
800, 1400, 0, 0, im_004_015_001.png, 3, 14, 0
2700, 1400, 0, 0, im_023_015_001.png, 22, 14, 0
2800, 1400, 0, 0, im_024_015_001.png, 23, 14, 0
500, 1500, 0, 0, im_001_016_001.png, 0, 15, 0
600, 1500, 0, 0, im_002_016_001.png, 1, 15, 0
700, 1500, 0, 0, im_003_016_001.png, 2, 15, 0
800, 1500, 0, 0, im_004_016_001.png, 3, 15, 0
1900, 1500, 0, 0, im_015_016_001.png, 14, 15, 0
2600, 1500, 0, 0, im_022_016_001.png, 21, 15, 0
2700, 1500, 0, 0, im_023_016_001.png, 22, 15, 0
2800, 1500, 0, 0, im_024_016_001.png, 23, 15, 0
