trialRef,frameNumber,xCoord,yCoord,orientation,height,pitch
13970,181,1151,1535,348,1008,0
13970,182,1116,1492,303,1090,0
13970,183,1028,1318,299,1186,0
13970,184,1045,1044,272,1137,0
13970,185,1072,793,321,1142,0
13970,186,991,639,329,1147,0
13970,187,954,611,357,1154,0
13970,188,886,605,359,1038,0
13970,189,836,616,181,1034,0
13970,190,850.5,617.6,181,1055.5,0
13970,191,865,619.2,181,1077,0
13970,192,879.5,620.8,181,1098.5,0
13970,193,894,622.4,181,1120,0
13970,194,908.5,624,181,1141.5,0
13970,195,923,625.6,181,1163,0
13970,196,937.5,627.2,181,1184.5,0
13970,197,952,628.8,181,1206,0
13970,198,966.5,630.4,181,1227.5,0
13970,199,981,632,181,1249,0
13970,200,995.5,633.6,181,1270.5,0
13970,201,1010,635.2,181,1292,0
13970,202,1024.5,636.8,181,1313.5,0
13970,203,1039,638.4,181,1335,0
13970,204,1053.5,640,181,1356.5,0
13970,205,1068,641.6,181,1378,0
13970,206,1082.5,643.2,181,1399.5,0
13970,207,1097,644.8,181,1421,0
13970,208,1111.5,646.4,181,1442.5,0
13970,209,1126,648,181,1464,0
13970,210,1140.5,649.6,181,1485.5,0
13970,211,1155,651.2,181,1507,0
13970,212,1127,652.8,181,1528.5,0
13970,213,1169,653,336,1529,0
13970,214,1199,719,341,1511,0
13970,215,1233,788,0,1493,0
13970,216,1269,850,188,1478,0
13970,217,1308,905,216,1458,0
13970,218,1352,936,237,1320,0
13970,219,1386,944,240,1408,0
13970,220,1464,936,244,1244,0
13970,221,1508,802,258,1281,0
13970,222,1527,736,265,1258,0
13970,223,1543,671,276,1239,0
13970,224,1551,611,307,1209,0
13970,225,1548,559,316,1183,0
13970,226,1534,522,312,1172,0
13970,227,1506,497,335,1232,0
13970,228,1489,488,348,1170,0
13970,229,1451,497,358,1264,0
13970,230,1425,525,352,1183,0
13970,231,1386,568,352,1189,0
13970,232,1341,622,346,1308,0
13970,233,1303,679,181,1212,0
13970,234,1263,745,357,1237,0
13970,235,1225,810,349,1269,0
13970,236,1188,862,328,1297,0
13970,237,1161,896,309,1344,0
13970,238,1148,922,286,1405,0
13970,239,1146,933,267,1464,0
13970,240,1158,939,242,1536,0
13970,241,1178,944,228,1589,0
13970,242,1207,953,212,1638,0
13970,243,1240,964,208,1669,0
13970,244,1273,979,206,1688,0
13970,245,1309,990,199,1706,0
13970,246,1344,999,193,1721,0
13970,247,1380,1004,182,1728,0
13970,248,1415,1013,345,1727,0
13970,249,1452,1027,342,1724,0
13970,250,1488,1053,343,1719,0
13970,251,1526,1087,345,1712,0
13970,252,1566,1127,356,1709,0
13970,253,1608,1156,207,1704,0
13970,254,1648,1156,250,1689,0
13970,255,1685,1127,255,1668,0
13970,256,1716,1079,260,1642,0
13970,257,1741,1016,270,1612,0
13970,258,1762,944,279,1576,0
13970,259,1776,867,291,1533,0
13970,260,1781,790,297,1489,0
13970,261,1776,716,327,1450,0
13970,262,1762,651,336,1409,0
13970,263,1741,594,332,1369,0
13970,264,1715,545,332,1326,0
13970,265,1682,514,351,1278,0
13970,266,1640,502,183,1227,0
13970,267,1589,511,182,1188,0
13970,268,1530,536,181,1154,0
13970,269,1466,574,351,1146,0
13970,270,1402,619,351,1152,0
13970,271,1340,659,334,1165,0
13970,272,1283,688,326,1196,0
13970,273,1232,711,336,1232,0
13970,274,1188,728,323,1278,0
13970,275,1151,745,320,1328,0
13970,276,1119,762,343,1380,0
13970,277,1090,790,352,1422,0
13970,278,1094.56,818.3,352,1405,0
13970,279,1099.12,846.6,352,1388,0
13970,280,1103.68,874.9,352,1371,0
13970,281,1108.24,903.2,352,1354,0
13970,282,1112.8,931.5,352,1337,0
13970,283,1117.36,959.8,352,1320,0
13970,284,1121.92,988.1,352,1303,0
13970,285,1126.48,1016.4,352,1286,0
13970,286,1131.04,1044.7,352,1269,0
13970,287,1135.6,1073,352,1252,0
13970,288,1140.16,1101.3,352,1235,0
13970,289,1144.72,1129.6,352,1218,0
13970,290,1149.28,1157.9,352,1201,0
13970,291,1153.84,1186.2,352,1184,0
13970,292,1158.4,1214.5,352,1167,0
13970,293,1162.96,1242.8,352,1150,0
13970,294,1167.52,1271.1,352,1133,0
13970,295,1172.08,1299.4,352,1116,0
13970,296,1176.64,1327.7,352,1099,0
13970,297,1181.2,1356,352,1082,0
13970,298,1185.76,1384.3,352,1065,0
13970,299,1190.32,1412.6,352,1048,0
13970,300,1194.88,1440.9,352,1031,0
